Title,Organization,Salary,Experience,Qualification,Location,Category
Premium Jobs,Graduate,,,,,Engineering
Project Associate-II (PAT-II),Indian Institute of Chemical Technology (IICT),35000,,Fresher,B.E/B.Tech,Engineering
Senior Project Associate (Senior-PAT),Indian Institute of Chemical Technology (IICT),42000,,3+,Years,Engineering
chemical,Walk In: 26-09-2025,2025,,Project Associate-I (PAT-I),Project Associate-I (PAT-I),Engineering
Project Associate-I (PAT-I),Indian Institute of Chemical Technology (IICT),31000,,Fresher,B.E/B.Tech,Engineering
chemical,Walk In: 26-09-2025,2025,,Executive Engineer,Executive Engineer,Engineering
Executive Engineer,Baba Farid University of Health & Sciences,2025,,Posted 23/09/2025,Graduate Engineer Trainee,Engineering
civil,Last Date: 26-09-2025,2025,,Graduate Engineer Trainee,Graduate Engineer Trainee,Engineering
Graduate Engineer Trainee,NUMALIGARH REFINERY LIMITED(NRL),50000 - 160000,,Fresher,B.E/B.Tech,Engineering
Engineering Assistant Grade III,Kerala Public Service Commission (Kerala PSC),9190 - 15780,,Fresher,B.E/B.Tech,Engineering
civil,Last Date: 15-10-2025,2025,,Programmer,Programmer,Engineering
Programmer,National Institute of Health and Family Welfare,44900 - 142400,,2+,Years,Engineering
Deputy Manager - Electrical Engineering,Bhartiya Reserve Bank Note Mudran Pvt (BRBNMPL),,,B.E/B.Tech,karnataka,Engineering
Deputy Manager - Printing Engineering,Bhartiya Reserve Bank Note Mudran Pvt (BRBNMPL),,,B.E/B.Tech,karnataka,Engineering
printing technology,Last Date: 29-09-2025,2025,,Deputy Manager - Computer Sceince Engineering,Deputy Manager - Computer Sceince Engineering,Engineering
Deputy Manager - Computer Sceince Engineering,Bhartiya Reserve Bank Note Mudran Pvt (BRBNMPL),,,B.E/B.Tech,karnataka,Engineering
computer science,Last Date: 29-09-2025,2025,,Executive (Mechanical/ Electrical/ C&I/ Civil),Executive (Mechanical/ Electrical/ C&I/ Civil),Engineering
Executive (Mechanical/ Electrical/ C&I/ Civil),ARAVALI POWER COMPANY PRIVATE LIMITED,90000,,4+,Years,Engineering
Graduate Apprenticeship,POWERGRID,17500,,Fresher,B.E/B.Tech,Engineering
Associate Engineer Grade III,ENGINEERS INDIA LIMITED(EIL),96000,,9+,Years,Engineering
Associate Engineer Grade II,ENGINEERS INDIA LIMITED(EIL),80000,,5+,Years,Engineering
Junior Engineer (Civil),VISVA BHARATI UNIVERSITY(VBU),,,B.E/B.Tech,west bengal,Engineering
civil,Last Date: 30-09-2025,2025,,Estate Officer,Estate Officer,Engineering
Estate Officer,VISVA BHARATI UNIVERSITY(VBU),,,B.E/B.Tech,west bengal,Engineering
civil,Last Date: 30-09-2025,2025,,Junior Intelligence Officer-II/Tech,Junior Intelligence Officer-II/Tech,Engineering
Junior Intelligence Officer-II/Tech,Intelligence Bureau,25500 - 81100,,Fresher,B.E/B.Tech,Engineering
Junior Project Executive – (Mechanical/Electrical/Electronics/Civil),Goa Shipyard Limited,55000,,Fresher,B.E/B.Tech,Engineering
Project Associate – I,Anna University (AU Chennai),30000,,Fresher,B.E/B.Tech,Engineering
Laboratory Assistant (Cyber Forensics),Arunachal Pradesh Staff Selection Board (APSSB),29200 - 92300,,Fresher,B.E/B.Tech,Engineering
Junior Executive,Airport Authority of India,40000,,Fresher,B.E/B.Tech,Engineering
Assistant,Satluj Jal Vidyut Nigam Limited (SJVN),23000,,10+,Years,Engineering
any degree,Last Date: 30-09-2025,2025,,Stenographer Grade-‘C’,Stenographer Grade-‘C’,Engineering
